,ci_rsfes,p,2p,3p,5p,ibs_rsfes,p,2p,3p,5p
25%,0.595068493,0.565489607,0.56958828,0.54496208,0.549062845,0.134819669,0.160720641,0.162229537,0.10086105,0.196355049
2,0.568158698,0.583888889,0.592633619,0.529442016,0.562578696,0.209065886,0.127412849,0.128385701,0.256094493,0.113578309
3,0.55594033,0.52720243,0.547683924,0.575986361,0.503152916,0.146600842,0.164540294,0.153779477,0.10669091,0.111829054
4,0.587820178,0.523532389,0.555869873,0.584050488,0.478318702,0.135736967,0.126575803,0.141769256,0.199689402,0.260885977
5,0.530175707,0.613667302,0.555183946,0.568687826,0.502009108,0.118932096,0.186510129,0.18423867,0.122933229,0.178095661
6,0.523639362,0.568647541,0.541237113,0.580893227,0.492693111,0.183167149,0.111495153,0.114480088,0.177856764,0.124486701
7,0.476036618,0.515792092,0.537931034,0.548833424,0.535626536,0.113246182,0.12278266,0.17105285,0.164678195,0.181616501
8,0.521290323,0.543429216,0.538252715,0.521040551,0.514803471,0.22444888,0.190850078,0.144223393,0.117415491,0.13969537
9,0.609125893,0.525094578,0.573569482,0.568008705,0.559386973,0.177494004,0.119079939,0.125034541,0.182988938,0.157548164
10,0.590943587,0.552317513,0.564325987,0.552880922,0.55873616,0.136565013,0.186287004,0.164771877,0.127014348,0.133779199
50%,0.60657307,0.625626342,0.596078431,0.603130435,0.556714472,0.177762176,0.198709861,0.188492704,0.188396763,0.174010686
,0.61119186,0.566644993,0.57663521,0.620227729,0.561510791,0.268367787,0.192987189,0.231514654,0.21198669,0.280618062
,0.571656051,0.594904459,0.607716049,0.528337062,0.518117169,0.209836913,0.201681165,0.179901035,0.233331828,0.267139554
,0.619692533,0.564045773,0.596531792,0.557698388,0.539168937,0.209736689,0.208923695,0.267673764,0.211004009,0.178960958
,0.601279318,0.62,0.598233216,0.597727273,0.602385009,0.265773708,0.336650693,0.193414496,0.189299636,0.214315309
,0.577894392,0.626666667,0.578498853,0.645953757,0.577747533,0.176260299,0.172209457,0.220473085,0.252252639,0.184685061
,0.603521356,0.594154766,0.57337151,0.606237149,0.600847181,0.216347941,0.237605017,0.227909741,0.240498913,0.191073519
,0.597346719,0.600628931,0.565798046,0.598435906,0.593330917,0.211019237,0.187282301,0.191303074,0.181920551,0.248506206
,0.601238165,0.569805195,0.608066184,0.654040404,0.568340539,0.243763141,0.242206876,0.228949446,0.190424754,0.188061449
,0.661311054,0.625036906,0.603786342,0.618649518,0.601250434,0.174249595,0.193090117,0.183602623,0.209506892,0.232009154
75%,0.443280977,0.49756691,0.509946628,0.521774856,0.570883315,0.230229918,0.208986119,0.16490521,0.24961761,0.163409422
,0.492093915,0.477248677,0.564369311,0.545407901,0.578186083,0.205063881,0.252669393,0.413112178,0.188036232,0.307286203
,0.5,0.49261745,0.449820789,0.407047388,0.504757136,0.184158561,0.233764544,0.20230176,0.267930599,0.172536517
,0.499511241,0.410437236,0.473143391,0.409751037,0.524864187,0.301290736,0.201399383,0.22375321,0.190528626,0.264706742
,0.394099052,0.465626318,0.494548626,0.450419339,0.512296984,0.189715403,0.19468571,0.24086736,0.487815761,0.187889082
,0.450323102,0.484210526,0.518804243,0.455178416,0.514932127,0.299722321,0.255502596,0.187384283,0.188101958,0.244976862
,0.500931966,0.475921909,0.509811774,0.473025048,0.521923621,0.203408857,0.21173417,0.198910012,0.27382605,0.230065204
,0.534136546,0.526644263,0.48847185,0.461538462,0.504648074,0.218184412,0.200976551,0.255657072,0.191548863,0.20495336
,0.515135699,0.480311355,0.45890411,0.541161179,0.462159435,0.215074343,0.22032663,0.325103384,0.217901087,0.358305599
,0.522995523,0.484239379,0.465780404,0.541284404,0.470711297,0.213545163,0.214048397,0.165109455,0.201979251,0.200348558
