,ci_rsfes,ci_rsfl,ci_rsfls,ci_coxlasso,ci_coxridge,,ibs_rsfes,ibs_rsfl,ibs_rsfls,ibs_coxlasso,ibs_coxridge
25,0.609479044,0.517430474,0.630238935,0.545240893,0.623580102,,0.141693247,0.166319598,0.143470216,0.170031593,0.161621179
26,0.612204724,0.587270341,0.560367454,0.594160105,0.62335958,,0.172221793,0.185590991,0.196476292,0.179246345,0.173743059
27,0.5934849,0.574143196,0.636918901,NA,0.604682728,,0.168332707,0.176300726,0.182769769,NA,0.175033706
28,0.593797277,0.604387292,0.519288956,0.454992436,0.624432678,,0.138873604,0.16221337,0.154498474,0.176830978,0.163202252
29,0.681718864,0.558630736,0.605243991,NA,0.698106336,,0.141673528,0.166914966,0.163711703,NA,0.156880811
30,0.63115613,0.589591338,0.591687042,NA,0.65316102,,0.156281976,0.163869988,0.164068153,NA,0.162971741
31,0.590535656,0.569503779,0.564903056,0.532697995,0.612553401,,0.160412314,0.170018395,0.172336422,0.177783069,0.170604923
32,0.679289941,0.620907298,0.581459566,NA,0.691518738,,0.15085288,0.166840289,0.164450179,NA,0.16326921
33,0.622157007,0.583639032,0.545121056,0.570799707,0.629860602,,0.141523293,0.163090601,0.155802236,0.169048469,0.160183975
34,0.682611732,0.603351955,0.626047486,NA,0.67527933,,0.154931576,0.170631936,0.176477256,NA,0.164505752
35,0.668930997,0.614229532,0.553450125,NA,0.679656775,,0.148205357,0.158602025,0.158258448,NA,0.160106397
36,0.62553495,0.554564907,0.594151213,NA,NA,,0.146259396,0.177121446,0.169596322,NA,NA
37,0.572481572,0.548730549,0.531531532,0.457821458,0.5999181,,0.158686251,0.168856331,0.157439366,0.179124987,0.166339144
38,0.653503185,0.615286624,0.634076433,NA,NA,,0.161975781,0.168799706,0.179991231,NA,NA
39,0.621001391,0.577190542,0.579972184,0.58240612,0.625869263,,0.145543551,0.163369303,0.15847925,0.171878626,0.167213443
40,0.69047619,0.617948718,0.593772894,0.483150183,0.727472527,,0.151747923,0.161679649,0.167548348,0.181867432,0.162150941
41,0.635135135,0.574141709,0.640248356,0.61504748,0.648283419,,0.14277446,0.16042051,0.1615348,0.170044583,0.156271194
42,0.671532847,0.602363573,0.592631213,0.579770594,0.661452902,,0.1548028,0.169365281,0.16551607,0.197692762,0.174304792
43,0.65767285,0.534991568,0.571669477,NA,0.642917369,,0.15397023,0.167459402,0.149575233,NA,0.157720052
44,0.631000941,0.609664261,0.523062441,0.581424537,0.635393787,,0.173595624,0.176657796,0.195724658,0.175246379,0.164267216
45,0.683865684,0.646191646,0.606060606,NA,NA,,0.149859495,0.16593863,0.152587884,NA,NA
46,0.647021344,0.572156738,0.638738452,0.560050972,0.659445683,,0.164333702,0.177183628,0.186198436,0.177905407,0.163723294
47,0.587783595,0.541710297,0.546247818,0.553577661,0.587085515,,0.164357795,0.18178995,0.18568345,0.195758094,0.178765895
48,0.541103398,0.598465473,0.572890026,0.602119109,0.544026306,,0.148162507,0.166373071,0.150559137,0.159396427,0.167262378
49,0.631127013,0.592844365,0.574239714,0.523792487,0.655813953,,0.145379516,0.161689752,0.165086422,0.175152419,0.160082705
50,0.581013562,0.554246966,0.578515346,0.544610992,0.616702355,,0.160401586,0.174506445,0.163374763,0.185025211,0.178838971
51,0.540836264,0.505666276,0.537710043,0.560375147,0.552950371,,0.151134206,0.182807331,0.161381139,0.173432198,0.182861238
52,0.593142104,0.623475107,0.523244313,NA,NA,,0.164524614,0.160588031,0.172387738,NA,NA
53,0.638226528,0.576751118,0.635245902,0.558867362,0.644560358,,0.138959712,0.157868987,0.149287542,0.172651373,0.157640529
54,0.684678523,0.614227086,0.61627907,NA,0.70622435,,0.1586596,0.173651525,0.177951157,NA,0.161252793
