,ci_rsfes,sqrt p,5/3 sqrt p,2p,3p,ibs_rsfes,sqrt p,5/3 sqrt p,2p,3p
25%,0.489602054,0.537301993,0.520318272,0.565312244,0.549034749,0.167753118,0.143567381,0.140284953,0.123478813,0.190304906
2,0.483539637,0.514058355,0.5262904,0.550637659,0.522745201,0.158332747,0.202920809,0.20220717,0.207277241,0.159663058
3,0.55441324,0.488082902,0.505311077,0.458885279,0.514328433,0.127706914,0.192763536,0.137660879,0.291258101,0.229042161
4,0.525027203,0.547905759,0.518230563,0.474442632,0.508232119,0.238482071,0.140614636,0.21632035,0.124142889,0.13285419
5,0.551451187,0.502021019,0.526813075,0.545172948,0.557285022,0.14180051,0.17169477,0.116734143,0.201655058,0.125156539
6,0.485853909,0.512704403,0.496686986,0.571465832,0.585521082,0.190041093,0.169584331,0.333705923,0.129307648,0.283048524
7,0.525851198,0.574468085,0.517593913,0.558472554,0.495202952,0.254162387,0.124242901,0.165749645,0.132195408,0.139371186
8,0.523568575,0.58518313,0.542459529,0.554033486,0.458436896,0.129783853,0.285232271,0.18364495,0.233706327,0.21924507
9,0.529047479,0.533123028,0.531572629,0.455946076,0.49008868,0.247159912,0.123219087,0.15855369,0.151013003,0.199058714
10,0.508845438,0.499721138,0.488273524,0.499858956,0.516670974,0.131159841,0.27865564,0.171521762,0.19172981,0.149061817
50%,0.492301771,0.455980358,0.542294322,0.462983026,0.540473225,0.197456869,0.242267435,0.278416757,0.200140649,0.248163076
,0.5452,0.398413398,0.516052319,0.498106857,0.479436828,0.255151655,0.21263838,0.189961901,0.295380543,0.208929083
,0.437759336,0.467924528,0.484862819,0.428515777,0.599406528,0.180712142,0.186628353,0.276311194,0.223788757,0.207733451
,0.457174638,0.467589467,0.505561173,0.472924188,0.550833333,0.3365549,0.328785649,0.212872113,0.226650024,0.222132582
,0.541367586,0.448733414,0.527513446,0.481904013,0.509461967,0.290110528,0.313692217,0.184956146,0.237016939,0.226648178
,0.471240756,0.434063822,0.472646074,0.49516441,0.508757637,0.186163828,0.205896583,0.306525594,0.243343719,0.210616331
,0.36638506,0.401993355,0.520815987,0.542012261,0.466501241,0.351519896,0.235965104,0.210076584,0.189634455,0.256893866
,0.393140794,0.442109145,0.499083914,0.500432526,0.422461882,0.214749984,0.21346496,0.231259616,0.35413391,0.232476397
,0.461673237,0.470079557,0.511940947,0.458121397,0.500951475,0.372036929,0.205818793,0.201271301,0.205547389,0.191690766
,0.534727144,0.423652016,0.513888889,0.544824399,0.473561689,0.18826513,0.260214054,0.242962252,0.313839037,0.239033925
75%,0.601244615,0.58812168,0.550547599,0.577735125,0.519873817,0.260444724,0.187058486,0.202711358,0.236938672,0.24956772
,0.498575499,0.534200113,0.588235294,0.539807524,0.530141844,0.177307478,0.265871265,0.218594705,0.201154072,0.201047614
,0.52568306,0.53045977,0.421669107,0.46712963,0.591351351,0.18540817,0.18034993,0.318855351,0.228298796,0.21188067
,0.591715976,0.459952038,0.442906574,0.522995283,0.574862293,0.226371943,0.286366616,0.209296651,0.198627447,0.199084606
,0.533678756,0.535071384,0.499746579,0.539220779,0.566362171,0.204475129,0.204146655,0.187764819,0.227662988,0.214103091
,0.472774869,0.603697024,0.578234976,0.533333333,0.532454361,0.230903932,0.207065859,0.325705254,0.194621297,0.195764533
,0.49906015,0.52531301,0.53837779,0.483205374,0.57313899,0.235806688,0.240621622,0.166026432,0.195136954,0.183474534
,0.606595995,0.626056688,0.546586946,0.535082715,0.582152231,0.218628699,0.183220121,0.299983597,0.245884635,0.409688077
,0.459416446,0.518915867,0.568245125,0.585328579,0.491729323,0.223566458,0.190753699,0.210932102,0.212743145,0.189522915
,0.480632008,0.520172911,0.553545232,0.534313725,0.498925886,0.204218496,0.219991763,0.199919302,0.224376365,0.282590011
