,ci_rsfes,sqrt p,5/3 sqrt p,2p,3p,ibs_rsfes,sqrt p,5/3 sqrt p,2p,3p
25%,0.539042821,0.541033435,0.553392809,0.532088123,0.577065678,0.123586606,0.176953046,0.213284942,0.131476771,0.154238583
2,0.540834387,0.541185334,0.509564802,0.547326203,0.576128722,0.159328351,0.115707425,0.120067209,0.156773838,0.127535933
3,0.51762002,0.557817802,0.530998703,0.575352113,0.548734653,0.1216756,0.196486859,0.131931794,0.137932891,0.112819183
4,0.529908166,0.53603936,0.545276074,0.545356079,0.561448241,0.162497696,0.10936786,0.149784449,0.136835394,0.211205897
5,0.540540541,0.529573247,0.579207921,0.542051282,0.537403475,0.181326449,0.16066507,0.129343805,0.126849418,0.121017068
6,0.512854145,0.560071575,0.588005851,0.570361146,0.546751189,0.121399543,0.120541063,0.146283688,0.157358859,0.179762504
7,0.551620196,0.591989319,0.504757258,0.567560598,0.550579151,0.160362573,0.116745272,0.208246156,0.162088,0.121952269
8,0.551610449,0.496074233,0.53539591,0.574820678,0.551681503,0.135852417,0.169219984,0.122616607,0.12219345,0.160878041
9,0.51266464,0.581048709,0.561092477,0.555529188,0.575572891,0.152689867,0.141536325,0.14454389,0.175118718,0.120903236
10,0.516964061,0.541477409,0.564082068,0.557081314,0.587596077,0.133361561,0.13124773,0.129775537,0.120198452,0.161005344
50%,0.471604938,0.493984688,0.505796621,0.514033943,0.497791369,0.169956561,0.187066505,0.204332858,0.209612281,0.178847221
,0.407394728,0.496190792,0.502352515,0.506651885,0.530060477,0.277160306,0.205549608,0.20049815,0.179857824,0.247922539
,0.510710959,0.492947007,0.510436433,0.564516129,0.551768079,0.172628555,0.177240969,0.211682202,0.210376184,0.180937395
,0.51605325,0.482341712,0.487385321,0.524162371,0.528582317,0.305745673,0.231587443,0.202009846,0.189014709,0.250429462
,0.463992974,0.517777011,0.455797101,0.463823305,0.456643357,0.246060091,0.199210978,0.194737963,0.206628282,0.275852526
,0.501517122,0.586675968,0.503473371,0.510522959,0.46662102,0.176754492,0.199535488,0.19509253,0.238279725,0.169854443
,0.492454573,0.460952381,0.47456964,0.467027027,0.55626327,0.19283359,0.174717688,0.235068984,0.180611718,0.240001726
,0.491318074,0.481212504,0.500473335,0.472757475,0.554233254,0.205824453,0.272404782,0.188009186,0.225222512,0.171397545
,0.495148995,0.486524823,0.47107438,0.465800535,0.585677749,0.206871208,0.282675367,0.197146193,0.31004567,0.173879129
,0.524652778,0.495749745,0.493874426,0.502549395,0.557126481,0.184804375,0.170217482,0.198971665,0.185628224,0.230772864
75%,0.54066363,0.527638191,0.548803828,0.561779242,0.523364486,0.175020048,0.175920357,0.235552089,0.231827729,0.168616665
,0.515972894,0.584119933,0.547120419,0.492761693,0.549519231,0.239421438,0.397005078,0.184540105,0.182835071,0.268752514
,0.445847499,0.502067065,0.513349515,0.550784857,0.555384615,0.226140514,0.214308958,0.206990421,0.207465753,0.205515266
,0.464889467,0.475618375,0.508551308,0.457264957,0.5307096,0.203215704,0.336024762,0.212893027,0.242531938,0.215826706
,0.560303239,0.594367885,0.609182531,0.497149373,0.623847572,0.295213029,0.19963729,0.224973172,0.294418875,0.166376667
,0.598681112,0.513429752,0.60320974,0.464266523,0.483806677,0.197468436,0.22076627,0.199548014,0.189565193,0.2482423
,0.481846154,0.560020877,0.502895323,0.501752336,0.446002805,0.237338369,0.19993279,0.223439143,0.182348739,0.23175338
,0.45954046,0.525443787,0.555715313,0.489785228,0.469294225,0.204952537,0.286854877,0.216676983,0.247406725,0.221552661
,0.575348248,0.419773096,0.579455165,0.454878607,0.441225627,0.212842052,0.242851457,0.189099372,0.223503075,0.215024318
,0.513084853,0.482680295,0.48650108,0.478142077,0.5339121,0.252913391,0.201090197,0.239676789,0.199638634,0.195058518
