,ci_rsfes,p,2p,3p,5p,ibs_rsfes,p,2p,3p,5p
25%,0.447016461,0.505812452,0.490227153,0.438367574,0.496692247,0.176669492,0.226425186,0.176008648,0.179726701,0.141665817
2,0.442282058,0.523771368,0.51012987,0.480940594,0.506940874,0.13618497,0.122537055,0.139591622,0.13779934,0.169956292
3,0.509273183,0.532698572,0.473586408,0.477789256,0.525825145,0.174139039,0.140673965,0.179605406,0.158869224,0.120613283
4,0.486989866,0.556536128,0.470420343,0.500668986,0.50742166,0.14626271,0.185837494,0.133742217,0.147280505,0.232096904
5,0.501027749,0.427807487,0.571428571,0.50075,0.52317248,0.132612277,0.136751143,0.14707663,0.187798421,0.140903768
6,0.451121795,0.448780488,0.502480706,0.495319383,0.49380582,0.196178057,0.188777331,0.158627395,0.132399517,0.196585167
7,0.482846902,0.481144691,0.465413353,0.494394619,0.53111588,0.119380394,0.147569621,0.140769857,0.113861598,0.208475387
8,0.49813134,0.473900746,0.474,0.514756517,0.515268155,0.230342203,0.181966276,0.169178416,0.340462318,0.127101244
9,0.463666925,0.483931441,0.519543147,0.542949355,0.43728545,0.188194067,0.269086162,0.128571124,0.168311032,0.158181372
10,0.496674648,0.47680082,0.504463078,0.529039361,0.474054759,0.126204428,0.125009104,0.179597275,0.132656346,0.157137207
50%,0.546175817,0.467924528,0.543373494,0.52173913,0.519329897,0.199754866,0.277095753,0.240956136,0.216755598,0.236497003
,0.524974165,0.519664732,0.523706117,0.535353535,0.5743607,0.251705654,0.211085605,0.20537402,0.213751193,0.202848797
,0.599219258,0.602192134,0.482796486,0.510638298,0.536784741,0.217942702,0.50982432,0.242003139,0.23709225,0.223471568
,0.587107438,0.564181137,0.51572327,0.461711712,0.519532676,0.216534851,0.1830275,0.209470786,0.211865907,0.244291433
,0.469845722,0.544897959,0.53556948,0.522769807,0.467076083,0.194194987,0.195353101,0.269319745,0.185367541,0.284122618
,0.55042148,0.575417202,0.544193062,0.505413902,0.47565663,0.261571309,0.281487612,0.20509363,0.363016937,0.19013477
,0.511286277,0.512481203,0.587258454,0.558407371,0.530286139,0.321954758,0.300917702,0.254985361,0.189745386,0.270719604
,0.522153846,0.55865315,0.560523446,0.537288697,0.532853285,0.196228929,0.190627562,0.196164583,0.311234735,0.20484031
,0.628591208,0.550031867,0.557227971,0.559598494,0.55073503,0.394384575,0.181466002,0.239089227,0.241179495,0.406889419
,0.586195929,0.559014711,0.553331032,0.619197208,0.534419176,0.189331312,0.293922811,0.205527571,0.186983134,0.193399236
75%,0.505428227,0.536658654,0.603295311,0.493753718,0.487312572,0.229670839,0.205317774,0.284900525,0.255497416,0.184944434
,0.53816047,0.517129929,0.612207152,0.498671979,0.435757988,0.176448323,0.185026723,0.160890966,0.18302628,0.25187544
,0.590124926,0.527012128,0.474753019,0.486466715,0.476250792,0.205363345,0.24359889,0.189569084,0.190579081,0.177616576
,0.562176166,0.47695684,0.505415162,0.529120879,0.534313725,0.179609734,0.183278279,0.200120063,0.199283618,0.300480399
,0.540594059,0.46239718,0.528218136,0.468634686,0.586513995,0.224621358,0.180019801,0.177798882,0.175657236,0.170180798
,0.518738846,0.500998004,0.512239902,0.431485022,0.567484663,0.179682345,0.255274508,0.202945264,0.220958127,0.241178414
,0.544013122,0.582511506,0.533889468,0.50070922,0.563946407,0.20717313,0.222581306,0.183026942,0.172148019,0.293650755
,0.562185478,0.514131088,0.525989139,0.526899612,0.561132561,0.177786184,0.187949582,0.195986667,0.228684878,0.164733776
,0.547390841,0.591693291,0.565980933,0.497303775,0.531669866,0.21672309,0.215520218,0.222727964,0.169322964,0.185416733
,0.545658683,0.541003672,0.515352697,0.482580645,0.504273504,0.17804298,0.185962616,0.183229175,0.289021208,0.227884095
